Rate,Method,MAE,RMSE,PSNR,SSIM,IoU,Time
0.1,K-Means,10.435654028227018,17.73143730350692,27.592826270039915,0.9443210948668523,0.9429367631296892,0.35248708724975586
0.1,Spectral,10.036052816171354,18.021020999963508,27.45211723043233,0.9542141701616154,0.8109916669672811,0.9502956867218018
0.1,DBSCAN,17.7153854113046,24.481857396459013,24.790817807484874,0.8922326121225764,0.8676914874711213,11.300863027572632
0.1,DBSCANR,8.93388962478569,18.12538694146347,27.401959351929616,0.9536747019821384,0.9264818436941917,10.419968366622925
0.1,AR-DBSCAN,16.631043866731975,24.838529837599893,24.665187347427043,0.9010942694621094,0.8887284521059179,4.72711181640625
0.1,GB-DBSCAN,17.32781554739887,24.26997783157143,24.8663174926103,0.8940011586439863,0.8698694029850746,46.864336252212524
0.1,HDBSCAN,7.116553334211029,17.196337449699605,27.858985908678914,0.966472126203762,0.9418330619590367,7.501805305480957
0.1,KNN-DBSCAN,17.7153854113046,24.481857396459013,24.790817807484874,0.8922326121225764,0.8676914874711213,11.270210027694702
0.1,K-Means,0.4047602171008357,0.547022974572678,40.28649554842169,0.9656925468906103,0.9484775511369585,0.43932604789733887
0.1,Spectral,0.4532034399885267,0.5693772236207137,39.93860507598935,0.9651672147221793,0.9200720120864507,0.8816132545471191
0.1,DBSCAN,0.27495107632093935,0.5520479027662978,40.207071597258796,0.9646186855498232,0.9543955215440871,9.99927806854248
0.1,DBSCANR,0.28309357794646833,0.4607582758477517,41.77714399422672,0.9697651093569793,0.9570980642496386,10.790154933929443
0.1,AR-DBSCAN,0.5319870540418487,0.5819886886009823,39.74831600621337,0.9664515441060454,0.8955296028462044,7.252552032470703
0.1,GB-DBSCAN,0.2930494291303716,0.6032269598742694,39.436992021647264,0.9634327830755982,0.9543565336223552,45.46812057495117
0.1,HDBSCAN,0.2907948216167394,0.5616112494815091,40.0578909150277,0.9638560568317198,0.9507707374031281,7.158651113510132
0.1,KNN-DBSCAN,0.27495107632093935,0.5520479027662978,40.207071597258796,0.9646186855498232,0.9543955215440871,10.053144693374634
0.1,K-Means,12.866265070847534,16.909569733709358,30.0232544060416,0.9304350397499176,0.9258948184519964,0.3941171169281006
0.1,Spectral,7.149368515662845,14.040674751287353,31.6381459643444,0.9684633951933036,0.14336763043436607,0.8720698356628418
0.1,DBSCAN,14.300493176725446,18.99799101693077,29.01175198747337,0.9222128324556986,0.9044876886417792,11.363533735275269
0.1,DBSCANR,4.983769568953006,12.218999086644162,32.845192900317564,0.9745661829377505,0.8478454152095312,10.196269989013672
0.1,AR-DBSCAN,14.322335630351898,19.00057751566389,29.01056951963591,0.9221036826397863,0.9044876886417792,8.93567180633545
0.1,GB-DBSCAN,13.452776337782376,17.445417962290882,29.75227796997812,0.9263108170727192,0.9192429839911854,46.21323609352112
0.1,HDBSCAN,4.309082405185819,11.676732021023795,33.239479280381865,0.9785632241808188,0.9186414903054112,7.689055442810059
0.1,KNN-DBSCAN,14.300493176725446,18.99799101693077,29.01175198747337,0.9222128324556986,0.9044876886417792,11.364179611206055
0.1,K-Means,19.270954077287385,30.060149284375573,27.031323199732377,0.9379249191744423,0.9581074630032356,0.386624813079834
0.1,Spectral,14.214450308391543,26.7397387391234,28.04800266725981,0.959053732531905,0.9746578338853822,0.9401640892028809
0.1,DBSCAN,33.94776872166253,42.06617303997423,24.112485781074326,0.8965759219951789,0.8391478653985585,12.144821166992188
0.1,DBSCANR,10.723772214260416,23.88180684832079,29.029802230096205,0.9623774956581783,0.9723687227700069,9.98861026763916
0.1,AR-DBSCAN,34.175210227236406,43.20325602078877,23.8808162860977,0.8964989625099018,0.8391478653985585,6.731900215148926
